"PROVISIONS","chain_ladder","bootstrap_mean","bootstrap_prediction_error","bootstrap_prediction_error_pct"
"year_1",0,0,0,NA
"year_2",154,182.968988328677,445.003956829827,243.212776599302
"year_3",617,626.123018188228,882.380338337498,140.927631264985
"year_4",1636,1598.29801551255,1336.83373126316,83.6410805924987
"year_5",2747,2795.18527293119,1722.04695170746,61.6076139347151
"year_6",3649,3696.90103088892,2051.92768373933,55.5039928468398
"year_7",5435,5548.67327274174,2384.7063768107,42.9779563436497
"year_8",10907,11074.0060301869,3620.25426693057,32.6914601370275
"year_9",10650,10851.9845002058,3867.44966067629,35.638178994846
"year_10",16339,16700.8510658082,6319.78982631425,37.8411243918748
